Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2018","2018","7021","Valeur annuel","USD","554.5","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2019","2019","7021","Valeur annuel","USD","445.6","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2020","2020","7021","Valeur annuel","USD","505.4","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","1998","1998","7021","Valeur annuel","USD","126","X","Ciffre de sources internationales"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","1999","1999","7021","Valeur annuel","USD","183.6","X","Ciffre de sources internationales"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2000","2000","7021","Valeur annuel","USD","147.8","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2001","2001","7021","Valeur annuel","USD","188.4","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2002","2002","7021","Valeur annuel","USD","201.4","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2003","2003","7021","Valeur annuel","USD","193.2","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2004","2004","7021","Valeur annuel","USD","307.8","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2005","2005","7021","Valeur annuel","USD","191.8","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2006","2006","7021","Valeur annuel","USD","266","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2007","2007","7021","Valeur annuel","USD","390.6","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2008","2008","7021","Valeur annuel","USD","409","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2009","2009","7021","Valeur annuel","USD","389.7","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2010","2010","7021","Valeur annuel","USD","493","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2011","2011","7021","Valeur annuel","USD","407.9","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2012","2012","7021","Valeur annuel","USD","325.7","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2013","2013","7021","Valeur annuel","USD","544.9","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2014","2014","7021","Valeur annuel","USD","305.7","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2015","2015","7021","Valeur annuel","USD","327.7","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2016","2016","7021","Valeur annuel","USD","394.6","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2017","2017","7021","Valeur annuel","USD","228.1","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2018","2018","7021","Valeur annuel","USD","255.3","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2019","2019","7021","Valeur annuel","USD","139.3","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2020","2020","7021","Valeur annuel","USD","279","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01341","Pommes","2000","2000","7021","Valeur annuel","USD","517.6","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01341","Pommes","2001","2001","7021","Valeur annuel","USD","525.5","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01341","Pommes","2002","2002","7021","Valeur annuel","USD","585.3","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01341","Pommes","2003","2003","7021","Valeur annuel","USD","662.2","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01341","Pommes","2004","2004","7021","Valeur annuel","USD","730.7","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01341","Pommes","2005","2005","7021","Valeur annuel","USD","586.6","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01341","Pommes","2006","2006","7021","Valeur annuel","USD","777.7","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01341","Pommes","2007","2007","7021","Valeur annuel","USD","782.4","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01341","Pommes","2008","2008","7021","Valeur annuel","USD","974.2","A","Chiffre officiel"
